Plant_Code	Vendor_Code	Vendor_Name	Vendor_Address	Active_Status
1150	129778	SALVIFIC SAFETY SOLUTIONS PVT LTD	CHENNAI, TAMILNADU	TRUE
1250	129783	LUNA TECHNOLOGIES PVT LTD	NAVI MUMBAI, MAHARASHTRA	TRUE
1200	129783	LUNA TECHNOLOGIES PVT LTD	NAVI MUMBAI, MAHARASHTRA	TRUE
1200	129784	RAYA VIRRA SALES	BANGALORE,KARNATAKA	TRUE
1210	129784	RAYA VIRRA SALES	BANGALORE,KARNATAKA	TRUE
1250	129828	GP PETROLEUMS LTD	REWARI, HARYANA	TRUE
1300	129829	SUSHMA CALIBRATION & TEST LABS	BENGALURU URBAN, KARNATAKA	TRUE
1200	129829	SUSHMA CALIBRATION & TEST LABS	BENGALURU URBAN, KARNATAKA	TRUE
1200	129871	MAEON LABORATORIES LLP	CHENNAI, TAMILNADU	TRUE
1150	129871	MAEON LABORATORIES LLP	CHENNAI, TAMILNADU	TRUE
1150	129875	VDK ENGINEERING	CHENNAI, TAMILNADU	TRUE
1300	129875	VDK ENGINEERING	CHENNAI, TAMILNADU	TRUE
1300	129876	EXCELLENT HYDRAULICS	PUNE, MAHARASHTRA	TRUE
1200	129901	AMBE  ENGINEERING AND FORGINGS	NASHIK, MAHARASHTRA	TRUE
1150	129905	ETERNA BUILDING AUTOMATION PVT LTD	CHENNAI, TAMILNADU	TRUE
1300	129907	VINSUM AXPRESS INDIA PRIVATE	KANCHIPURAM,TAMILNADU	TRUE
1150	129907	VINSUM AXPRESS INDIA PRIVATE	KANCHIPURAM,TAMILNADU	TRUE
1200	129908	FUJI ELECTRIC INDIA PRIVATE	KANCHEEPURAM, TAMILNADU	TRUE
1210	129908	FUJI ELECTRIC INDIA PRIVATE	KANCHEEPURAM, TAMILNADU	TRUE
1250	129977	UP ENVIROCHEM & TECHNOLOGY	BEHIND HEAD POST OFFICE BAREILLY	TRUE
1200	129991	RAYA VIRRA SALES	BANGALORE, KARNATAKA	TRUE
1210	129991	RAYA VIRRA SALES	BANGALORE, KARNATAKA	TRUE
1300	129995	SAPTHAGIRI INDUSTRIAL PRODUCTS	CHENNAI, TAMILNADU	TRUE
1250	130001	DAKSH COMPUTER	US NAGAR, UTTRAKHAND	TRUE
1250	130002	SHANTI AUTOMATION	US NAGAR, UTTRAKHAND	TRUE
1150	130003	JI ENGINEERING	CHENNAI, TAMILNADU	TRUE
1150	130015	PERMANENT MAGNETS LIMITED	THANE, MAHARASHTRA	TRUE
1210	130018	SYNEVERSE TECHNOLOGIES LLP	BANGALORE,KARNATAKA	TRUE
1200	130018	SYNEVERSE TECHNOLOGIES LLP	BANGALORE,KARNATAKA	TRUE
1250	130019	ICICI LOMBARD GENERAL	HALDWANI, UTTRAKHAND	TRUE
1200	130020	SAHANA LOGISTICS PVT LTD	BANGALORE, KARNATAKA	TRUE
1150	130021	GENUINE IT SOLUTION	CHENNAI, TAMILNADU	TRUE
1300	130024	NILKAMAL STORAGE SYSTEMS PVT. LTD	SAMBA	TRUE
1300	130046	SPRITLE  SOFTWARE PRIVATE LIMITED	CHENNAI	TRUE
1200	130054	CROWNTECH SURFACE FINISHINGS	SRIPERUMBUDUR.	TRUE
1150	130054	CROWNTECH SURFACE FINISHINGS	SRIPERUMBUDUR.	TRUE
1210	130055	IMEC TOOLS INDIA PRIVATE	BANGALORE, KARNATAKA	TRUE
1200	130055	IMEC TOOLS INDIA PRIVATE	BANGALORE, KARNATAKA	TRUE
1150	130060	STAR KOLOUR COATS	TIRUVALLUR.	TRUE
1300	130061	SHELL INDIA MARKETS PRIVATE	BHIWANDI-THANE 27, MAHARASHTRA	TRUE
1150	130061	SHELL INDIA MARKETS PRIVATE	BHIWANDI-THANE 27, MAHARASHTRA	TRUE
1250	130067	RUSHIL ENTERPRISES	RUDRAPUR,UTTARAKHAND	TRUE
1150	130068	BAR CORR COATINGS PRIVATE	CHENNAI, TAMILNADU	TRUE
1200	130069	ANYAM INDUSTRIAL SOLUTIONS	BANGALORE, KARNATAKA	TRUE
1250	130069	ANYAM INDUSTRIAL SOLUTIONS	BANGALORE, KARNATAKA	TRUE
1210	130070	GLOBAL TOOLING SOLUTIONS	MYSURU, KARNATAKA	TRUE
1200	130070	GLOBAL TOOLING SOLUTIONS	MYSURU, KARNATAKA	TRUE
1200	130093	SREE GANESH CHEMICALS	MYSORE, KARNATAKA	TRUE
1200	130102	JINKUSHAL TEXTILES	MYSORE, KARNATAKA	TRUE
1200	130106	TAS CORPORATION	CHENNAI TAMILNADU	TRUE
1150	130106	TAS CORPORATION	CHENNAI TAMILNADU	TRUE
1300	130106	TAS CORPORATION	CHENNAI TAMILNADU	TRUE
1210	130106	TAS CORPORATION	CHENNAI TAMILNADU	TRUE
1250	130106	TAS CORPORATION	CHENNAI TAMILNADU	TRUE
1150	130110	SAFE SPEED TRANS CARGO	BANGALORE, KARNATAKA	TRUE
